"pcr","size","sex","index","year","station","julian","latitude","depth","temperature","fourth.root.cpue70","pc1"
0,71.2,"1","6","2015","I-21",185,57.66725,72,3.5,2.87667344822969,-2.4472961003119
0,79.7,"1","6","2015","I-21",185,57.66725,72,3.5,2.87667344822969,-2.4472961003119
0,63,"1","6","2015","I-23",189,57.67492,100,2.3,5.06865045451099,-1.81689551699654
0,74.1,"1","6","2015","I-23",189,57.67492,100,2.3,5.06865045451099,-1.81689551699654
0,74.7,"1","6","2015","I-23",189,57.67492,100,2.3,5.06865045451099,-1.81689551699654
0,77.5,"1","6","2015","I-23",189,57.67492,100,2.3,5.06865045451099,-1.81689551699654
0,77.5,"1","6","2015","I-23",189,57.67492,100,2.3,5.06865045451099,-1.81689551699654
0,77.8,"1","6","2015","I-23",189,57.67492,100,2.3,5.06865045451099,-1.81689551699654
0,77.9,"1","6","2015","I-23",189,57.67492,100,2.3,5.06865045451099,-1.81689551699654
0,84.3,"1","6","2015","I-23",189,57.67492,100,2.3,5.06865045451099,-1.81689551699654
0,72.3,"1","6","2015","IH2120",185,57.49467,67,4.3,0,-2.75649098510753
0,77.3,"1","6","2015","IH2120",185,57.49467,67,4.3,0,-2.75649098510753
0,78,"1","6","2015","IH2120",185,57.49467,67,4.3,0,-2.75649098510753
0,97.6,"1","6","2015","IH2120",185,57.49467,67,4.3,0,-2.75649098510753
0,72.3,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,75.3,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,75.6,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,79.7,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,82.9,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,87.8,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,88.7,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,89.4,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,89.6,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,89.6,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,90.8,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,92.2,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,92.3,"1","6","2015","J-23",189,58.00451,98,1.3,5.91213934311613,-1.38604729700351
0,55.6,"1","6","2015","JI2120",186,57.83972,73,3.4,2.86572716879541,-2.28375162360327
0,81.3,"1","6","2015","JI2120",186,57.83972,73,3.4,2.86572716879541,-2.28375162360327
0,84.3,"1","6","2015","JI2120",186,57.83972,73,3.4,2.86572716879541,-2.28375162360327
0,85.6,"1","6","2015","JI2120",186,57.83972,73,3.4,2.86572716879541,-2.28375162360327
0,51,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,52,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,62,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,66,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,73,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,75,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,78,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,83,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,84,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,92,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,95,"1","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,59,"2","6","2015","JI2221",189,57.82747,79,4,4.9973685911736,-2.27165497526291
0,54,"1","6","2015","K-22",188,58.32587,83,1.2,22.8305968942041,-1.29673463500209
0,54,"1","6","2015","K-22",188,58.32587,83,1.2,22.8305968942041,-1.29673463500209
0,59,"1","6","2015","K-22",188,58.32587,83,1.2,22.8305968942041,-1.29673463500209
0,62,"1","6","2015","K-22",188,58.32587,83,1.2,22.8305968942041,-1.29673463500209
0,63,"1","6","2015","K-22",188,58.32587,83,1.2,22.8305968942041,-1.29673463500209
0,65,"1","6","2015","K-22",188,58.32587,83,1.2,22.8305968942041,-1.29673463500209
0,66,"1","6","2015","K-22",188,58.32587,83,1.2,22.8305968942041,-1.29673463500209
0,69,"1","6","2015","K-22",188,58.32587,83,1.2,22.8305968942041,-1.29673463500209
0,72,"1","6","2015","K-22",188,58.32587,83,1.2,22.8305968942041,-1.29673463500209
0,72,"1","6","2015","K-22",188,58.32587,83,1.2,22.8305968942041,-1.29673463500209
